condition,ellen_up,ellen_down,ellen_rtt,ellen_audio_MOS,ellen_video_MOS,ellen_MOS,aadya_up,aadya_down,aadya_rtt,aadya_audio_MOS,aadya_video_MOS,aadya_MOS,agg_audio_MOS,agg_video_MOS,agg_MOS
30.0,1000.0,12000,250,2.924,3.697,3.27,5000.0,2000,400,2.14,2.9090000000000003,2.47,2.14,2.9090000000000003,2.47
30.0,20000.0,12000,400,3.53,3.61,3.57,5000.0,2000,400,3.524,3.693,3.61,3.524,3.61,3.57
30.0,500.0,25000,750,2.194,3.249,2.62,5000.0,2000,400,2.634,3.4330000000000003,2.98,2.194,3.249,2.62
31.0,500.0,12000,550,1.0025,2.293,1.4,5000.0,2000,550,1.056,3.707,1.64,1.0025,2.293,1.4
31.0,20000.0,2000,750,1.702,3.33,2.25,5000.0,2000,550,2.2030000000000003,3.616,2.74,1.702,3.33,2.25
31.0,20000.0,12000,250,3.3725,3.0065,3.18,5000.0,2000,550,2.622,3.51,3.0,2.622,3.0065,3.0
32.0,5000.0,50000,750,2.23,2.3585000000000003,2.29,5000.0,2000,750,2.113,1.0,1.36,2.113,1.0,1.36
32.0,500.0,25000,550,2.8825,2.9695,2.93,5000.0,2000,750,1.79,3.47,2.36,1.79,2.9695,2.36
32.0,5000.0,50000,550,2.682,3.5705,3.06,5000.0,2000,750,3.1,3.666,3.36,2.682,3.5705,3.06
33.0,500.0,12000,550,1.2115,2.7695,1.69,1000.0,25000,250,2.16,3.239,2.59,1.2115,2.7695,1.69
33.0,5000.0,2000,250,2.5475,2.6215,2.58,1000.0,25000,250,3.4175,3.2345,3.32,2.5475,2.6215,2.58
33.0,5000.0,12000,550,2.79,3.6415,3.16,1000.0,25000,250,3.0335,3.68,3.33,2.79,3.6415,3.16
34.0,5000.0,50000,100,4.196000000000001,3.606,3.88,1000.0,25000,400,4.140000000000001,3.6,3.85,4.140000000000001,3.6,3.85
34.0,5000.0,2000,400,2.46,3.2345,2.79,1000.0,25000,400,2.98,3.389,3.17,2.46,3.2345,2.79
34.0,1000.0,25000,550,-1.0,-1.0,-1.0,1000.0,25000,400,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
35.0,500.0,50000,750,1.544,1.73,1.63,1000.0,25000,550,1.9915,1.008,1.34,1.544,1.008,1.34
35.0,500.0,2000,100,1.117,3.378,1.68,1000.0,25000,550,1.025,1.476,1.21,1.025,1.476,1.21
35.0,500.0,12000,750,1.0315,2.15,1.39,1000.0,25000,550,2.322,3.1830000000000003,2.69,1.0315,2.15,1.39
